"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Onkologie LogicalModel MII Onkologie Mapping","Mapping: RIM Mapping"
"mii-lm-mvgenomseq-onkologie","mii-lm-mvgenomseq-onkologie","","","",0,*,"","","","null {[]} {[]}
","MII LM Modellvorhaben Genomsequenzierung Onkologie","MII LogicalModel Modellvorhaben Genomsequenzierung Onkologie","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Haupttumordiagnose","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Haupttumordiagnose","","","",1,1,"","","","code {[]} {[]}
","Haupttumordiagnose","Haupttumordiagnose in ICD-10-GM","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Haupttumordiagnose",1,1,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/icd-10-gm').code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.WeitereOnkologischeDiagnosen","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.WeitereOnkologischeDiagnosen","","","",0,*,"","","","code {[]} {[]}
","Weitere onkologische Diagnosen","Optional bei mehreren onkologischen Diagnosen, insbesondere Dokumentation als weiter onkologische Diagnose bei hereditären Tumordispositionssydroms (HT), bei HT zusätzliche Dokumentation ORPHAcode oder AlphaID, ein Code soweit vorhanden ist. Undiagnostizierte Erkrankungen sind mit ORPHA:616874 zu kodieren.","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.WeitereOnkologischeDiagnosen",0,*,"","","Condition.code.coding.where(system='http://fhir.de/CodeSystem/bfarm/icd-10-gm').code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Hauptdiagnosedatum","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Hauptdiagnosedatum","","","",0,1,"","","","date {[]} {[]}
","Hauptdiagnosedatum","Datum der Erstdiagnose der Hauptdiagnose. Wenn Tag unbekannt -> 15. des Monats","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Hauptdiagnosedatum",0,1,"","","Condition.extension.where(url='http://hl7.org/fhir/StructureDefinition/condition-assertedDate').valueDate"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.ECOGStatus","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.ECOGStatus","","","",0,1,"","","","code {[]} {[]}
","ECOG-Status","Eastern Cooperative Oncology Group (ECOG) Performance Status nach 0,1,2,3,4,5,unknown, not applicable","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.ECOGStatus",0,1,"","","Observation.where(code='423740007' and system='http://snomed.info/sct').valueCodeableConcept.coding.code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.KeimbahndiagnoseVorhanden","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.KeimbahndiagnoseVorhanden","","","",0,1,"","","","code {[]} {[]}
","Keimbahndiagnose vorhanden","Ja, Nein, unbekannt","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.KeimbahndiagnoseVorhanden",0,1,"","","no direct match, vsl. über FHIRPath automatisch generieren, wenn Keimbahndiagnose.exists()"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Keimbahndiagnose","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Keimbahndiagnose","","","",0,*,"","","","code {[]} {[]}
","Keimbahndiagnose","Keimbahndiagnosen nach ICD-10-GM.Bei Diagnose eines hereditären Tumordispositionssydroms als Teil der OE ist verpflichtend anzugeben mit ICD10 und ORPHA oder AlphaID","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Keimbahndiagnose",0,*,"","","no direct match. Keimbahndiagnose existiert als Konzept nicht, hier könnte / müsste mit Condition.category gearbeitet werden, z.B. SNOMED Hereditary cancer-predisposing syndrome (disorder)"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.HPOPhaenotypisierung","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.HPOPhaenotypisierung","","","",0,*,"","","","code {[]} {[]}
","Phänotypisierung nach HPO ","Human Phenotype Ontology.Bei Diagnose eines hereditären Tumordispositionssydroms als Teil der OE, wenn vorhanden angeben (optional)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.HPOPhaenotypisierung",0,*,"","","Observation.where(valueCodeableConcept.coding.system='http://human-phenotype-ontology.org')"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Histologie","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Histologie","","","",1,1,"","","","code {[]} {[]}
","Histologie nach ICD-O-3","Histologische Morphologie und Verhalten nach ICD-O-3","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Histologie",1,1,"","","Condition.extension.where(url='https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-ex-onko-histology-morphology-behavior-icdo3').valueCodeableConcept.coding.code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Topographie","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Topographie","","","",1,1,"","","","code {[]} {[]}
","Topographie nach ICD-O-3","Topographie des Tumors nach ICD-O-3","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Topographie",1,1,"","","Condition.bodySite.coding.code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Grading","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Grading","","","",0,1,"","","","code {[]} {[]}
","Differenzierungsgrad","Gibt den Differenzierungsgrad des Tumors entsprechend der aktuellen TNM-Auflage an,  Bei der Klassifikation sind die einschlägigen Regeln der Literatur (TNM) zu beachten.","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.Grading",0,1,"","","Observation.where(code.coding.code='33732-9' and code.coding.system='http://loinc.org').valueCodeableConcept.coding.code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.TNMSchluessel","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.TNMSchluessel","","","",0,1,"","","","string {[]} {[]}
","TNM-Klassifikation","TNM-Klassifikation des Tumors","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.TNMSchluessel",0,1,"","","Observation.where(code.coding.code='33732-9' and code.coding.system='http://snomed.info/sct').valueCodeableConcept.coding.code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.TNMSystematik","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.TNMSystematik","","","",0,1,"","","","code {[]} {[]}
","TNM-Systematik","TNM-Systematik nach AJCC oder UICC","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.TNMSystematik",0,1,"","","Laut Krebsregisterdaten nur UICC vorgesehen? kein expiziter Datenpunkt außer Version"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.WeitereKlassifikationen","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.WeitereKlassifikationen","","","",0,*,"","","","string {[]} {[]}
","Weitere Klassifikationen","Weitere Klassifikationen des Tumors zum Diagnosezeitpunkt","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.WeitereKlassifikationen",0,*,"","","no direkt match - Observation - Nutzung des Profils WeitereKlassifikationen, aber aufgrund der Vielfalt der Klassifikationen keine direkte Zuordnung möglich"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.DiagnostischeVoruntersuchungen","mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.DiagnostischeVoruntersuchungen","","","",0,*,"","","","code {[]} {[]}
","Diagnostische Voruntersuchungen","Diagnostische Voruntersuchungen zum Diagnosezeitpunkt. Bewertung der durchgeführten genetischen Diagnostik, nur für heriditäre Prädispositionssyndrome/ Erbliche Tumore","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Diagnose.DiagnostischeVoruntersuchungen",0,*,"","","no direkt match"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik","mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik","","","",0,*,"","","","BackboneElement {[]} {[]}
","Vordiagnostik","Vordiagnostik","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Vordiagnostik"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.id","mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.extension","mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.ArtDiagnostik","mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.ArtDiagnostik","","","",1,1,"","","","code {[]} {[]}
","Diagnostik","Diagnostik, die vor dem MV Genomseq, durchgeführt wurde (Vorbefunde)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.ArtDiagnostik",1,1,"","","Diagnoste)"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.DatumDiagnostik","mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.DatumDiagnostik","","","",0,1,"","","","date {[]} {[]}
","Datum","Datum der Diagnostik","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.Vordiagnostik.DatumDiagnostik",0,1,"","","Datum Diagnostik"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde","","","",0,*,"","","","BackboneElement {[]} {[]}
","klinisch relevante Ergebnisse der Diagnostik","klinisch relevante Ergebnisse der Diagnostik","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","klinisch relevante Ergebnisse der Diagnostik"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.id","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.extension","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.Gen","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.Gen","","","",1,1,"","","","code {[]} {[]}
","Gen","Gen kodiert nach HGNC","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.Gen",1,1,"","","Genert nach HGNC"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.Transkript","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.Transkript","","","",0,1,"","","","code {[]} {[]}
","Transkript","Transkript kodiert nach Ensembl/RefSeq","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.Transkript",0,1,"","","Transkriranskript kodiert nach Ensembl/RefSeq"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.DNAChange","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.DNAChange","","","",0,1,"","","","code {[]} {[]}
","DNA-Veränderung","DNA-Verändung nach cHGVS","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.DNAChange",0,1,"","","DNA-VeränVerändung nach cHGVS"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.ProteinChange","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.ProteinChange","","","",0,1,"","","","code {[]} {[]}
","Protein-Veränderung","Protein-Veränderung nach pHGVS","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.ProteinChange",0,1,"","","Protein-Verändotein-Veränderung nach pHGVS"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.TypAlteration","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.TypAlteration","","","",0,1,"","","","code {[]} {[]}
","Typ der Alteration","Typ der Alteration / Variantenklasse nach Sequence ontology (SO)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.TypAlteration",0,1,"","","Typ der Alteratr Alteration / Variantenklasse nach Sequence ontology (SO)"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.KomplexeAlteration","mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.KomplexeAlteration","","","",0,1,"","","","string {[]} {[]}
","Komplexe Alteration","Ausführliche Beschreibung bei komplexen Alteration z.B. Fusion","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.MolekulareVorbefunde.KomplexeAlteration",0,1,"","","Komplexe AlteratAusführliche Beschreibung"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien","","","",0,*,"","","","BackboneElement {[]} {[]}
","Systemische Vortherapien","Systemische Vortherapien","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Procedure"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.id","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
