property	pre	post	verdict
identity.id	mii-ig-onko-de-v2026	mii-ig-onko-de-v2026	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-onko	https://www.medizininformatik-initiative.de/fhir/ext/modul-onko	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.onkologie	de.medizininformatikinitiative.kerndatensatz.onkologie	unchanged
identity.name	MII_IG_Onko_DE	MII_IG_Onko_DE	unchanged
identity.version	2026.0.3	2026.0.3	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	CC0-1.0	CC0-1.0	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	Medizininformatik Initiative	unchanged
identity.status	active	active	unchanged
identity.title	MII IG Kerndatensatz-Modul Onkologie	MII IG Kerndatensatz-Modul Onkologie	unchanged
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	true	true	unchanged
mode	static	static	unchanged
artifacts.profiles	77	77	unchanged
artifacts.extensions	18	18	unchanged
artifacts.valuesets	114	114	unchanged
artifacts.codesystems	46	46	unchanged
artifacts.logicals	3	3	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	17	17	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	307	307	unchanged
artifacts.rulesets	17	48	expected-change
artifacts.invariants	8	8	unchanged
artifacts.mappings	77	77	unchanged
artifacts.other.ConceptMap	40	40	unchanged
artifacts.other.Library	1	1	unchanged
artifacts.other.ObservationDefinition	2	2	unchanged
artifacts.other_total	43	43	unchanged
artifacts.total	583	583	unchanged
narrative.pages	443	472	expected-change
narrative.intro_note_pages	0	103	expected-change
narrative.translation_pages	0	29	expected-change
directives.total	5364	5364	unchanged
